id,Symbol,Date,Open,High,Low,Close,Adj Close,Volume
0,AMZN,2021-01-04,163.5,163.600006103516,157.20100402832,159.331497192383,159.331497192383,88228000
1,AMZN,2021-01-05,158.300506591797,161.169006347656,158.253005981445,160.925506591797,160.925506591797,53110000
2,AMZN,2021-01-06,157.324005126953,159.875503540039,156.557998657227,156.919006347656,156.919006347656,87896000
3,AMZN,2021-01-07,157.850006103516,160.427001953125,157.75,158.108001708984,158.108001708984,70290000
4,AMZN,2021-01-08,159,159.531997680664,157.110000610352,159.134994506836,159.134994506836,70754000
5,AMZN,2021-01-11,157.400497436523,157.819000244141,155.5,155.710494995117,155.710494995117,73668000
6,AMZN,2021-01-12,156,157.106994628906,154.300003051758,156.04150390625,156.04150390625,70292000
7,AMZN,2021-01-13,156.421997070313,159.497497558594,156.10400390625,158.294494628906,158.294494628906,66424000
8,AMZN,2021-01-14,158.376007080078,158.899993896484,156.029495239258,156.373504638672,156.373504638672,61418000
9,AMZN,2021-01-15,156.151000976563,157.127502441406,154.758499145508,155.212493896484,155.212493896484,84880000
10,AMZN,2021-01-19,155.350006103516,157.25,154.800003051758,156.037994384766,156.037994384766,66102000
11,AMZN,2021-01-20,159.099502563477,163.990005493164,158.75,163.169006347656,163.169006347656,106196000
12,AMZN,2021-01-21,164.649993896484,167.427505493164,164.478500366211,165.349502563477,165.349502563477,98722000
13,AMZN,2021-01-22,165.21549987793,166.095504760742,164.158004760742,164.61149597168,164.61149597168,56438000
14,AMZN,2021-01-25,166.425003051758,168.19450378418,162.157501220703,164.699996948242,164.699996948242,74996000
15,AMZN,2021-01-26,164.817993164063,166.899993896484,164.143493652344,166.306503295898,166.306503295898,59104000
16,AMZN,2021-01-27,167.074493408203,167.32600402832,160.35400390625,161.628997802734,161.628997802734,93204000
17,AMZN,2021-01-28,161.751998901367,165.083999633789,161.434494018555,161.880996704102,161.880996704102,62984000
18,AMZN,2021-01-29,161.5,161.849502563477,159.227493286133,160.309997558594,160.309997558594,85872000
19,AMZN,2021-02-01,162.11799621582,167.513000488281,161.751495361328,167.143997192383,167.143997192383,83204000
20,AMZN,2021-02-02,169,171.386993408203,168.056503295898,169,169,141972000
21,AMZN,2021-02-03,171.250503540039,171.699996948242,165.430999755859,165.626495361328,165.626495361328,141776000
22,AMZN,2021-02-04,166.5,167.350006103516,163.887496948242,166.550003051758,166.550003051758,73414000
