Symbol,Open,Close,Volume,Date
1,163.5,159.331497192383,88228000,2021-01-04
1,158.300506591797,160.925506591797,53110000,2021-01-05
1,157.324005126953,156.919006347656,87896000,2021-01-06
1,157.850006103516,158.108001708984,70290000,2021-01-07
1,159,159.134994506836,70754000,2021-01-08
1,157.400497436523,155.710494995117,73668000,2021-01-11
1,156,156.04150390625,70292000,2021-01-12
1,156.421997070313,158.294494628906,66424000,2021-01-13
1,158.376007080078,156.373504638672,61418000,2021-01-14
1,156.151000976563,155.212493896484,84880000,2021-01-15
1,155.350006103516,156.037994384766,66102000,2021-01-19
1,159.099502563477,163.169006347656,106196000,2021-01-20
1,164.649993896484,165.349502563477,98722000,2021-01-21
1,165.21549987793,164.61149597168,56438000,2021-01-22
1,166.425003051758,164.699996948242,74996000,2021-01-25
1,164.817993164063,166.306503295898,59104000,2021-01-26
1,167.074493408203,161.628997802734,93204000,2021-01-27
1,161.751998901367,161.880996704102,62984000,2021-01-28
1,161.5,160.309997558594,85872000,2021-01-29
1,162.11799621582,167.143997192383,83204000,2021-02-01
1,169,169,141972000,2021-02-02
1,171.250503540039,165.626495361328,141776000,2021-02-03
1,166.5,166.550003051758,73414000,2021-02-04
1,165.949996948242,167.607498168945,72416000,2021-02-05
1,167.925003051758,166.147003173828,65148000,2021-02-08
1,165.624496459961,165.25,44070000,2021-02-09
1,165.699996948242,164.328994750977,63032000,2021-02-10
1,164.600006103516,163.106506347656,46028000,2021-02-11
1,162.5,163.885498046875,46706000,2021-02-12
1,162.702499389648,163.447494506836,51494000,2021-02-16
1,163.179992675781,165.432006835938,65950000,2021-02-17
1,164.121002197266,166.411499023438,60548000,2021-02-18
1,166.411499023438,162.494995117188,86104000,2021-02-19
1,160.406494140625,159.037002563477,70314000,2021-02-22
1,156.351501464844,159.725006103516,93544000,2021-02-23
1,158.337493896484,157.976501464844,60226000,2021-02-24
1,156.837005615234,152.858001708984,90676000,2021-02-25
1,154.759994506836,154.646499633789,85518000,2021-02-26
1,156.394500732422,157.307006835938,54582000,2021-03-01
1,157.173492431641,154.726501464844,51916000,2021-03-02
1,154.059005737305,150.25,79774000,2021-03-03
1,150.600006103516,148.878494262695,109632000,2021-03-04
1,150.25,150.022994995117,107772000,2021-03-05
1,150.75,147.597503662109,83700000,2021-03-08
1,150.899505615234,153.142501831055,80600000,2021-03-09
1,154.922500610352,152.88200378418,60250000,2021-03-10
1,155.200500488281,155.679504394531,55528000,2021-03-11
1,153.75,154.474502563477,48438000,2021-03-12
1,153.728500366211,154.083999633789,58272000,2021-03-15
1,155.248504638672,154.593002319336,50776000,2021-03-16
1,153.660995483398,156.786499023438,62372000,2021-03-17
1,155.050003051758,151.399505615234,72992000,2021-03-18
1,151.461502075195,153.748001098633,92508000,2021-03-19
1,153.392501831055,155.543502807617,58044000,2021-03-22
1,156.350006103516,156.875,76346000,2021-03-23
1,157.552001953125,154.353500366211,59180000,2021-03-24
1,153.649505615234,152.313003540039,71270000,2021-03-25
1,152.203002929688,152.601501464844,66258000,2021-03-26
1,152.772003173828,153.786499023438,54920000,2021-03-29
1,153.500503540039,152.764495849609,46752000,2021-03-30
1,153.203002929688,154.703994750977,61878000,2021-03-31
1,155.897003173828,158.050003051758,58806000,2021-04-01
1,158.649993896484,161.336502075195,66698000,2021-04-05
1,161.1875,161.190994262695,50756000,2021-04-06
1,161.690002441406,163.969497680664,66924000,2021-04-07
1,165.544998168945,164.964996337891,56242000,2021-04-08
1,165.235000610352,168.610000610352,86830000,2021-04-09
1,167.760498046875,168.969497680664,65636000,2021-04-12
1,170.042495727539,170,66316000,2021-04-13
1,170.201995849609,166.649993896484,62904000,2021-04-14
1,168.550003051758,168.954498291016,64672000,2021-04-15
